"","Name","State","Bank","BankState","NAICS","ApprovalFY","Term","NoEmp","NewExist","CreateJob","RetainedJob","UrbanRural","RevLineCr","DisbursementGross","BalanceGross","MIS_Status","GrAppv","SBA_Appv"
"923","SIX & GEVING INSURANCE CO, COR","CO","PIKES PEAK REGIONAL DEVEL CORP","CO",0,"1998",240,25,1,9,9,0,"N","$559,000.00 ","$0.00 ","P I F","$559,000.00 ","$559,000.00 "
"924","THE STORE","CA","ONEUNITED BANK","MA",0,"1998",240,2,2,0,0,0,"N","$130,000.00 ","$0.00 ","P I F","$130,000.00 ","$97,500.00 "
"925","Gopher Grocery, Inc.","MN","WELLS FARGO BANK NATL ASSOC","SD",445110,"2006",80,1,1,5,6,1,"Y","$109,621.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"926","JOYERIA ESPINAL, INC","NY","JPMORGAN CHASE BANK NATL ASSOC","IL",0,"1998",60,3,2,0,0,0,"0","$40,000.00 ","$0.00 ","P I F","$40,000.00 ","$20,000.00 "
"927","THE LAEMMLE-PASADENA LIMITED P","CA","CALIFORNIA STATEWIDE CERT. DEV","CA",512131,"1998",240,1,1,25,0,0,"0","$998,000.00 ","$0.00 ","P I F","$998,000.00 ","$998,000.00 "
"928","FINA FOOD STORE","TX","JPMORGAN CHASE BANK NATL ASSOC","IL",0,"1998",75,4,1,0,0,0,"0","$203,000.00 ","$0.00 ","CHGOFF","$203,000.00 ","$152,250.00 "
"929","MIDWEST EMBROIDERY & SCREEN PR","MO","LIBERTY BANK","MO",315999,"2006",120,6,1,0,0,2,"N","$130,000.00 ","$0.00 ","P I F","$130,000.00 ","$110,500.00 "
"930","UPPER CRUST ARTISAN BREADS & C","CA","UMPQUA BANK","OR",0,"1998",120,4,1,2,0,0,"0","$300,000.00 ","$0.00 ","P I F","$300,000.00 ","$225,000.00 "
"931","WM, LLC","TN","U.S. BANK NATIONAL ASSOCIATION","OH",444110,"2007",18,3,1,0,3,1,"Y","$192,002.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"932","PET PROS, INC","GA","THE HERITAGE BANK","GA",541940,"1998",96,6,1,0,0,0,"0","$62,000.00 ","$0.00 ","P I F","$62,000.00 ","$49,600.00 "
"933","Mydesignerbrands.com","PA","PNC BANK, NATIONAL ASSOCIATION","DE",448150,"2007",72,2,1,0,2,1,"T","$31,000.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"934","Rabco Sales LLC","CT","BANK OF AMERICA NATL ASSOC","NC",423390,"2007",84,5,2,0,5,1,"Y","$62,500.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
"935","EAFood, Inc.","PA","SANTANDER BANK NATL ASSOC","PA",722110,"2007",36,3,1,1,0,1,"N","$25,000.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"936","STRINGERS, INC.","FL","WELLS FARGO BANK NATL ASSOC","SD",313221,"1998",60,10,1,0,0,0,"0","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$40,000.00 "
"937","A & A Die, Inc.","GA","CORNERSTONEBANK","GA",333514,"2006",300,18,1,2,18,1,"0","$175,000.00 ","$0.00 ","P I F","$175,000.00 ","$29,750.00 "
"938","COTTMAN TRANSMISSION","NJ","NEWTEK SMALL BUS. FINANCE INC.","NY",811111,"1998",99,1,2,0,0,0,"0","$94,300.00 ","$0.00 ","CHGOFF","$94,300.00 ","$75,440.00 "
"939","Doty Floral & Event Services,","MI","PNC BANK, NATIONAL ASSOCIATION","DE",453110,"2007",28,6,2,0,6,1,"Y","$28,231.00 ","$0.00 ","CHGOFF","$10,000.00 ","$5,000.00 "
"940","LYLES FUNERAL HOME, INC.","AR","ARK-TEX REGIONAL DEVEL COMPANY","TX",0,"1985",300,11,2,0,0,0,"N","$163,000.00 ","$0.00 ","P I F","$163,000.00 ","$163,000.00 "
"941","Better Real Estate Investments","MN","U.S. BANK NATIONAL ASSOCIATION","OH",531311,"2007",63,1,2,2,3,1,"Y","$42,006.00 ","$0.00 ","CHGOFF","$30,000.00 ","$15,000.00 "
"942","SAVAGE PIZZA LLC","WA","INLAND NORTHWEST BANK","WA",722110,"2006",120,24,2,0,0,1,"N","$170,000.00 ","$0.00 ","P I F","$170,000.00 ","$127,500.00 "
"943","E J Beauty Supply","TX","JPMORGAN CHASE BANK NATL ASSOC","IL",453998,"2007",84,5,1,0,5,1,"Y","$60,636.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"944","Adonis Foods, Incorporated","IL","JPMORGAN CHASE BANK NATL ASSOC","IL",445110,"2007",21,4,1,0,4,1,"Y","$120,385.00 ","$0.00 ","CHGOFF","$27,000.00 ","$13,500.00 "
"945","WILLIAM JOHN CHRISTIE DBA FLAM","VA","CAPITAL ONE NATL ASSOC","VA",451220,"2007",64,2,1,1,2,1,"N","$50,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"946","West Coast Signs of Florida,LL","FL","BANK OF AMERICA NATL ASSOC","NC",339950,"2007",84,14,1,3,14,1,"Y","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"947","CHIROPRACTIC HEALTH & REHABILI","MO","BANK OF AMERICA NATL ASSOC","NC",621310,"1998",90,3,2,0,0,0,"0","$40,000.00 ","$0.00 ","P I F","$40,000.00 ","$32,000.00 "
"948","Audubon Builders LLC","LA","JPMORGAN CHASE BANK NATL ASSOC","IL",236116,"2007",35,3,1,0,3,1,"Y","$193,907.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"949","Pure Harmony Day Spa, LLC","MO","BMO HARRIS BK NATL ASSOC","IL",812112,"2007",192,19,2,0,19,1,"N","$432,204.00 ","$0.00 ","P I F","$432,300.00 ","$324,225.00 "
"950","COTTONWOOD HEIGHTS CHEVRON","UT","BRIGHTON BANK","UT",0,"1985",139,13,1,0,0,0,"N","$385,300.00 ","$0.00 ","CHGOFF","$414,100.00 ","$322,998.00 "
"951","SERVPRO OF BLOOMFIELD AND LIVO","MI","WELLS FARGO BANK NATL ASSOC","SD",0,"1998",167,12,1,0,0,0,"0","$986,600.00 ","$0.00 ","P I F","$986,600.00 ","$739,950.00 "
"952","SPAULDING TRUCKING","OK","LIBERTY NATIONAL BANK","OK",0,"1998",84,2,2,0,0,0,"0","$48,000.00 ","$0.00 ","P I F","$48,000.00 ","$38,400.00 "
"953","Sera Trucking","VA","BANK OF AMERICA NATL ASSOC","NC",484121,"2007",41,3,1,0,3,1,"Y","$12,515.00 ","$0.00 ","CHGOFF","$5,000.00 ","$2,500.00 "
"954","Vishon, Inc","CA","INNOVATIVE BANK","CA",445299,"2007",84,3,2,0,3,1,"N","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$8,500.00 "
"955","ALL AMERICAN TITLE AGENCY, INC","MI","CITIZENS BANK NATL ASSOC","RI",541191,"2007",61,3,2,0,3,1,"Y","$7,471.00 ","$0.00 ","CHGOFF","$5,000.00 ","$2,500.00 "
"956","Workforce Staffing Services","UT","BANK OF UTAH","UT",561320,"2007",120,2,2,0,2,2,"N","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$85,000.00 "
"957","Cafe Bennett","PA","MANUFACTURERS & TRADERS TR CO","NY",722110,"2007",40,5,1,0,5,1,"N","$63,000.00 ","$0.00 ","CHGOFF","$63,000.00 ","$31,500.00 "
"958","NOTTING HILL INC","IA","IOWA STATE BANK","IA",448120,"2006",89,3,2,3,0,1,"0","$96,000.00 ","$0.00 ","CHGOFF","$96,000.00 ","$81,600.00 "
"959","BARBECUE STREET, INC","GA","PNC BANK, NATIONAL ASSOCIATION","DE",0,"1998",300,20,2,0,0,0,"N","$875,000.00 ","$0.00 ","P I F","$875,000.00 ","$656,250.00 "
"960","ELITE ROOFING & CONSTRUCTION I","IL","CAPITAL ONE NATL ASSOC","VA",238160,"2007",84,7,1,0,7,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"961","Il Melograno Inc.","PA","SANTANDER BANK NATL ASSOC","DE",722110,"2007",84,8,1,0,8,1,"N","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$50,000.00 "
"962","MORTGAGE AMERICA, LLC","KS","U.S. BANK NATIONAL ASSOCIATION","OH",531110,"2007",84,7,2,0,7,1,"Y","$113,268.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"963","Native Ink Tattoo Inc.","IN","THE HUNTINGTON NATIONAL BANK","OH",812990,"2007",60,1,1,0,0,1,"N","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"964","CALM WATERS CONSTRUCTION","CA","JPMORGAN CHASE BANK NATL ASSOC","IL",236118,"2006",35,3,1,0,3,2,"Y","$82,968.00 ","$0.00 ","CHGOFF","$25,000.00 ","$12,500.00 "
"965","GLOVES PAPER SAFETY, LLC","AZ","WELLS FARGO BANK NATL ASSOC","SD",425120,"2006",17,8,1,1,9,1,"Y","$74,311.00 ","$0.00 ","CHGOFF","$30,000.00 ","$15,000.00 "
"966","PLUMBING & HEATING BY CRAIG IN","MN","CITIZENS BANK & TRUST CO","MN",238220,"2006",24,15,1,0,15,2,"0","$40,000.00 ","$0.00 ","P I F","$40,000.00 ","$20,000.00 "
"967","Tow & Fix Auto Repair, Inc.","MI","PNC BANK, NATIONAL ASSOCIATION","DE",423120,"2007",28,0,1,0,1,1,"Y","$24,963.00 ","$0.00 ","CHGOFF","$10,500.00 ","$5,250.00 "
"968","PRIMARY RESOURCES INC","NC","BANK OF AMERICA NATL ASSOC","NC",0,"1998",47,2,2,0,0,0,"Y","$67,500.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"969","PROFESSIONAL POLYMER SERVICES","DE","PNC BANK, NATIONAL ASSOCIATION","PA",0,"1998",60,1,2,0,0,0,"Y","$89,999.00 ","$0.00 ","P I F","$30,000.00 ","$15,000.00 "
"970","Heatherdown Properties LLC","OH","THE HUNTINGTON NATIONAL BANK","OH",238150,"2007",214,47,2,0,47,1,"N","$1,342,800.00 ","$0.00 ","CHGOFF","$1,342,800.00 ","$1,007,100.00 "
"971","Vaughan Electric, Inc.","NJ","BANK OF AMERICA NATL ASSOC","NC",238210,"2007",33,5,1,0,5,1,"N","$35,000.00 ","$0.00 ","CHGOFF","$35,000.00 ","$17,500.00 "
"972","J.R. Marella, Inc.","GA","BBCN BANK","CA",621310,"2007",84,2,2,0,1,1,"N","$20,000.00 ","$0.00 ","P I F","$20,000.00 ","$17,000.00 "
"973","U-N-Me Win, Inc.","TX","BANK OF AMERICA NATL ASSOC","NC",531311,"2007",58,2,1,0,2,1,"Y","$38,875.00 ","$0.00 ","CHGOFF","$35,000.00 ","$17,500.00 "
"974","The Ghg Group, Incorporated","KS","BBCN BANK","CA",541611,"2007",64,2,1,0,0,1,"N","$25,000.00 ","$0.00 ","P I F","$25,000.00 ","$21,250.00 "
"975","Elkhorn Excavating","CO","JPMORGAN CHASE BANK NATL ASSOC","IL",238990,"2007",84,1,1,0,1,1,"N","$25,000.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"976","PILCHAK COHEN & TICE, P.C.","MI","CALIFORNIA BANK & TRUST","CA",541110,"2007",84,7,1,3,7,1,"N","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$50,000.00 "
"977","SUPER COUPS OF HUDSON COUNTY","NJ","VALLEY NATIONAL BANK","NJ",0,"1998",84,1,2,0,0,0,"0","$40,000.00 ","$0.00 ","P I F","$40,000.00 ","$32,000.00 "
"978","SKIP FUNT,DBA S.F.ENTERPRISES","NY","VALLEY NATIONAL BANK","NY",0,"1998",73,2,1,0,0,0,"N","$30,000.00 ","$0.00 ","P I F","$30,000.00 ","$24,000.00 "
"979","CANYON VIEW COUNTRY HOME, LC","UT","MOUNTAIN W. SMALL BUS. FINAN","UT",0,"1998",240,1,2,7,1,0,"N","$117,000.00 ","$0.00 ","P I F","$117,000.00 ","$117,000.00 "
"980","T'S COUNTRY STORE","MI","TALMER BANK AND TRUST","MI",445120,"2006",190,1,2,0,0,2,"N","$135,000.00 ","$0.00 ","CHGOFF","$135,000.00 ","$114,750.00 "
"981","TEM COMPANY INC","CA","U.S. BANK NATIONAL ASSOCIATION","CA",0,"1998",300,2,1,1,0,0,"0","$316,700.00 ","$0.00 ","P I F","$347,000.00 ","$260,250.00 "
"982","DOWNTOWN RADIO OF DENVER, INC.","CO","DENVER URBAN ECONOMIC DEVEL CO","CO",0,"1985",300,46,1,0,0,0,"N","$464,000.00 ","$0.00 ","P I F","$464,000.00 ","$464,000.00 "
"983","RECREATION COMPANY, INC.","MI","MICHIGAN CERT. DEVEL CORP","MI",0,"1985",240,18,1,0,0,0,"N","$289,000.00 ","$0.00 ","P I F","$289,000.00 ","$289,000.00 "
"984","J A AND R D BROWN TRUCKING","OK","BANK OF AMERICA NATL ASSOC","NC",484110,"2007",46,4,1,1,4,2,"N","$95,000.00 ","$0.00 ","CHGOFF","$62,000.00 ","$31,000.00 "
"985","GONZALEZ INVESTIGATIONS","CA","CITIBANK, N.A.","SD",561611,"2006",84,1,1,0,1,1,"Y","$51,622.00 ","$0.00 ","P I F","$20,000.00 ","$10,000.00 "
"986","ONE POINT 3","FL","COMPASS BANK","AL",238390,"2006",51,14,1,0,14,1,"Y","$37,355.00 ","$0.00 ","CHGOFF","$30,000.00 ","$15,000.00 "
"987","TOBY'S SHOP","WI","THE PARK BANK","WI",811121,"1998",60,2,1,0,0,0,"0","$30,000.00 ","$0.00 ","P I F","$30,000.00 ","$24,000.00 "
"988","T & P PLATING INC","CA","CALIFORNIA BANK & TRUST","CA",332813,"1998",120,26,2,14,0,0,"0","$330,000.00 ","$0.00 ","P I F","$330,000.00 ","$247,500.00 "
"989","ARMOR ELECTRIC, INC.","CO","U.S. BANK NATIONAL ASSOCIATION","OH",238210,"2007",72,3,2,0,3,1,"N","$11,900.00 ","$0.00 ","P I F","$11,900.00 ","$5,950.00 "
"990","DOUGHBOYS ITALIAN RESTAURANT","CO","FARMERS ST. BK - FT MORGAN COL","CO",0,"1998",240,6,1,0,0,0,"0","$75,000.00 ","$0.00 ","P I F","$75,000.00 ","$60,000.00 "
"991","IDOC- North America, Inc.","NY","JPMORGAN CHASE BANK NATL ASSOC","IL",323113,"2007",84,1,1,0,1,1,"Y","$37,147.00 ","$0.00 ","P I F","$15,000.00 ","$7,500.00 "
"992","HOUSTON'S FINEST SPORTS BAR IN","GA","BRANCH BK. & TR CO","NC",722110,"2006",240,1,2,15,0,1,"0","$1,800,000.00 ","$0.00 ","P I F","$1,800,000.00 ","$1,350,000.00 "
"993","JC DIRECT, LLC","FL","BANCO POPULAR NORTH AMERICA","NY",812990,"2006",22,2,2,28,30,1,"Y","$48,746.00 ","$0.00 ","CHGOFF","$25,000.00 ","$12,500.00 "
"994","MMS CATERING LLC","CT","NEWTOWN SAVINGS BANK","CT",722110,"2006",39,4,1,0,4,2,"0","$27,000.00 ","$0.00 ","CHGOFF","$27,000.00 ","$13,500.00 "
"995","UPTOWN DINER","MT","FIRST INTERSTATE BANK","MT",0,"1998",180,18,1,0,0,0,"0","$280,000.00 ","$0.00 ","P I F","$280,000.00 ","$210,000.00 "
"996","Ana's Accessories","CA","BBCN BANK","CA",448150,"2007",68,2,2,0,2,1,"N","$10,000.00 ","$0.00 ","CHGOFF","$10,000.00 ","$8,500.00 "
"997","Princeton Security LLC","NH","SANTANDER BANK NATL ASSOC","DE",561612,"2007",4,4,2,6,4,1,"N","$25,000.00 ","$0.00 ","CHGOFF","$25,000.00 ","$12,500.00 "
"998","RYAN'S SERVICE CENTER","OH","UNITY NATL BANK A DIVISION OF","OH",811111,"1998",180,1,1,0,0,0,"0","$90,000.00 ","$0.00 ","P I F","$90,000.00 ","$72,000.00 "
"999","DON-PAUL REGISTERED ELECTROLOG","MA","BANK OF AMERICA NATL ASSOC","NC",0,"1998",54,1,1,0,0,0,"Y","$8,714.00 ","$0.00 ","CHGOFF","$5,000.00 ","$2,500.00 "
"1000","BRIDGE U S A & CONSULTING GROU","CA","WELLS FARGO BANK NATL ASSOC","CA",0,"1998",84,28,1,0,0,0,"0","$200,000.00 ","$0.00 ","P I F","$200,000.00 ","$150,000.00 "
"1001","BEAUTIFUL BRIDE, INC.","MD","OLD LINE BANK","MD",448120,"1998",2,27,2,0,0,0,"N","$260,000.00 ","$0.00 ","CHGOFF","$260,000.00 ","$195,000.00 "
"1002","Washtime","MT","WESTERN SECURITY BANK A DIVISI","MT",812310,"2007",96,3,1,0,3,1,"N","$190,000.00 ","$0.00 ","P I F","$190,000.00 ","$95,000.00 "
"1003","Cosmopolitan Concierge, LLC","GA","BANK OF AMERICA NATL ASSOC","NC",561990,"2007",24,9,1,2,9,1,"Y","$167,000.00 ","$0.00 ","CHGOFF","$78,000.00 ","$39,000.00 "
"1004","Daniel Pedrana Painting and Re","TX","BANK OF AMERICA NATL ASSOC","NC",238320,"2007",84,1,1,0,1,1,"Y","$80,000.00 ","$0.00 ","P I F","$60,000.00 ","$30,000.00 "
"1005","LEGENDARY AUTOWORKS & FRAME, I","MO","LIBERTY BANK","MO",811121,"1998",84,11,1,0,0,0,"N","$145,000.00 ","$0.00 ","P I F","$145,000.00 ","$108,750.00 "
"1006","TEJAS-WENDY'S, INCORPORATED","TX","RIO BANK","TX",0,"1985",120,200,1,0,0,0,"N","$725,000.00 ","$0.00 ","CHGOFF","$725,000.00 ","$493,000.00 "
"1007","Amar Cory House of Life","NY","JPMORGAN CHASE BANK NATL ASSOC","IL",541612,"2007",84,2,1,0,2,1,"N","$25,300.00 ","$0.00 ","P I F","$25,300.00 ","$12,650.00 "
"1008","CLOVIS SIGNS & NEON","CA","BANK OF AMERICA NATL ASSOC","NC",0,"1985",167,3,2,0,0,0,"N","$25,000.00 ","$0.00 ","CHGOFF","$25,000.00 ","$22,500.00 "
"1009","SBRIGATI","WY","1ST BANK, A DIVISION OF","WY",722320,"2006",60,1,2,0,0,2,"N","$40,000.00 ","$0.00 ","P I F","$40,000.00 ","$34,000.00 "
"1010","J'S AUTO INC.  DBA J'S AUTO","NY","CITIZENS BANK NATL ASSOC","RI",811118,"2007",84,2,1,0,2,1,"N","$3,109.00 ","$0.00 ","","$5,000.00 ","$2,500.00 "
"1011","YAEGER & ASSOCIATES, INC.","NY","WILMINGTON TRUST NATL ASSOC","DE",0,"1998",84,5,1,0,0,0,"0","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$80,000.00 "
"1012","JAMES EDUCATIONAL MEETINGS & S","MO","U.S. BANK NATIONAL ASSOCIATION","OH",519190,"2007",20,1,1,0,1,1,"Y","$21,981.00 ","$0.00 ","CHGOFF","$10,000.00 ","$5,000.00 "
"1013","Johnny Lee","TX","JPMORGAN CHASE BANK NATL ASSOC","IL",484220,"2007",84,2,1,0,2,1,"N","$15,000.00 ","$0.00 ","P I F","$15,000.00 ","$7,500.00 "
"1014","QUARTER TIME VENDING","CA","BBCN BANK","CA",454210,"2006",84,1,2,0,1,1,"0","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$8,500.00 "
"1015","Southern Siding & Pation Cover","MS","BBCN BANK","CA",444110,"2007",56,1,1,2,0,2,"N","$20,000.00 ","$0.00 ","CHGOFF","$20,000.00 ","$17,000.00 "
"1016","Vallavista Corporation","CA","UMPQUA BANK","OR",448320,"2006",84,5,1,0,5,1,"0","$261,600.00 ","$0.00 ","P I F","$261,600.00 ","$196,200.00 "
"1017","MIDNIGHT RUN COPY INC.","CA","MUFG UNION BANK NATL ASSOC","CA",561439,"1998",60,13,2,0,0,0,"Y","$50,730.00 ","$0.00 ","P I F","$50,000.00 ","$40,000.00 "
"1018","CHURCHILL'S","MO","COMMERCE BANK","MO",722410,"1998",60,5,2,0,0,0,"0","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$80,000.00 "
"1019","OCRA-CORP, INC. DBA G.S.P.S.","NC","CAPITAL ONE NATL ASSOC","VA",335312,"2007",56,2,1,1,2,1,"N","$50,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"1020","JOHNNY W FRANKLIN DBA FRANKLIN","KY","CAPITAL ONE NATL ASSOC","VA",811111,"2007",84,1,1,1,1,1,"N","$35,000.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
"1021","AHERN RENTALS, INC.","CA","CDC SMALL BUS. FINAN CORP","CA",233320,"1998",240,165,1,30,165,0,"N","$749,000.00 ","$0.00 ","P I F","$749,000.00 ","$749,000.00 "
"1022","JOHN D. WESTWOOD, D.D.S.","CA","CDC SMALL BUS. FINAN CORP","CA",0,"1985",300,5,1,0,0,0,"N","$117,000.00 ","$0.00 ","P I F","$117,000.00 ","$117,000.00 "
"1023","ALL IN ONE HAULING AND CLEAN U","OR","U.S. BANK NATIONAL ASSOCIATION","OH",236118,"2007",84,1,1,0,1,1,"Y","$53,518.00 ","$0.00 ","P I F","$17,500.00 ","$8,750.00 "
"1024","DeZiel Heating and Air Conditi","MN","U.S. BANK NATIONAL ASSOCIATION","OH",238220,"2007",84,3,1,1,4,1,"Y","$112,430.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"1025","Long Island Mill Work & Remode","NY","JPMORGAN CHASE BANK NATL ASSOC","IL",238350,"2007",57,3,2,2,3,1,"N","$99,993.00 ","$0.00 ","CHGOFF","$100,000.00 ","$50,000.00 "
"1026","A & G Dry Cleaning, LLC","KY","OLD NATIONAL BANK","IN",812320,"2007",60,5,1,4,9,1,"N","$60,000.00 ","$0.00 ","P I F","$60,000.00 ","$30,000.00 "
"1027","BOSTON FLEET CLEANING","FL","BBCN BANK","CA",561720,"2006",52,2,2,1,2,1,"0","$10,000.00 ","$0.00 ","CHGOFF","$10,000.00 ","$8,500.00 "
"1028","M Fashion Republic","CA","BBCN BANK","CA",448120,"2007",74,5,2,1,1,1,"N","$35,000.00 ","$0.00 ","CHGOFF","$35,000.00 ","$29,750.00 "
"1029","IDS Consulting, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",561990,"2007",54,1,1,0,1,1,"Y","$110,500.00 ","$0.00 ","CHGOFF","$38,000.00 ","$19,000.00 "
"1030","IMIJ","SD","WELLS FARGO BANK NATL ASSOC","SD",541922,"2006",16,2,1,0,2,2,"Y","$18,006.00 ","$0.00 ","P I F","$5,000.00 ","$2,500.00 "
"1031","J&J MATERIALS CORP.","MA","CITIZENS BANK NATL ASSOC","RI",0,"1998",84,43,1,0,0,0,"N","$828,800.00 ","$0.00 ","P I F","$828,800.00 ","$621,600.00 "
"1032","AVOLITES OF AMERICA, INC","TN","FIRST TENNESSEE BANK NATL ASSO","TN",421610,"1998",84,4,1,0,0,0,"0","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$80,000.00 "
"1033","ENERGY PRODUCTS, INC.","MO","U.S. BANK NATIONAL ASSOCIATION","OH",423220,"2007",84,1,2,0,1,1,"Y","$66,323.00 ","$0.00 ","P I F","$15,200.00 ","$7,600.00 "
"1034","EJS MATERNITY/CHILDRENS SHOP","TX","TEXAS BANK AND TRUST COMPANY","TX",0,"1985",10,9,1,0,0,0,"N","$120,000.00 ","$0.00 ","CHGOFF","$120,000.00 ","$78,000.00 "
"1035","LISA LOUGHRY, LLC DBA LM ENTER","WV","CAPITAL ONE NATL ASSOC","VA",484121,"2007",49,2,1,0,2,2,"N","$50,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"1036","Marcum Construction LLC","IN","PNC BANK, NATIONAL ASSOCIATION","DE",236118,"2007",82,1,1,0,1,2,"Y","$155,516.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
"1037","FRANKLIN ANALYTICAL SERVICES I","MA","CITIZENS BANK NATL ASSOC","RI",421510,"1998",84,5,1,0,0,0,"Y","$139,900.00 ","$0.00 ","P I F","$75,000.00 ","$37,500.00 "
"1038","COVIELLO ELECTRIC & GENERAL CO","MA","BAY COLONY DEVEL CORP","MA",0,"1985",300,20,1,0,0,0,"N","$158,000.00 ","$0.00 ","P I F","$158,000.00 ","$158,000.00 "
"1039","JOHN GRYBOSKI & ROBERT WAGNER","WI","RACINE CNTY BUS. DEVEL CORP","WI",0,"1985",180,23,1,0,0,0,"N","$168,000.00 ","$0.00 ","P I F","$168,000.00 ","$168,000.00 "
"1040","LUIS TRUJILLO DBA TRUJILLO","TX","BANK OF AMERICA NATL ASSOC","NC",238220,"2007",54,1,2,0,1,1,"N","$38,050.00 ","$0.00 ","CHGOFF","$20,000.00 ","$10,000.00 "
"1041","CHABELLE INTERNATIONAL, LLC","CA","CAPITAL ONE NATL ASSOC","VA",423940,"2007",61,2,1,1,2,1,"N","$35,000.00 ","$0.00 ","CHGOFF","$35,000.00 ","$17,500.00 "
"1042","ATLANTIC AUTOMOTIVE & QUICK LU","FL","BANK OF AMERICA NATL ASSOC","FL",811111,"1998",72,11,2,0,0,0,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$40,000.00 "
"1043","CHARCO UNLIMITED, INC","NY","MANUFACTURERS & TRADERS TR CO","NY",422690,"1998",60,3,1,0,0,0,"0","$32,000.00 ","$0.00 ","P I F","$32,000.00 ","$25,600.00 "
"1044","Audio Fanatics","CA","BANK OF AMERICA NATL ASSOC","NC",811118,"2007",37,1,1,0,1,1,"N","$12,000.00 ","$0.00 ","CHGOFF","$12,000.00 ","$6,000.00 "
"1045","AFRICAN FOOD MARKET","MN","BRANCH BK. & TR CO","GA",445110,"2006",24,5,1,5,5,1,"Y","$415,317.00 ","$0.00 ","P I F","$350,000.00 ","$175,000.00 "
"1046","SARAPHIM CORP","NC","BBCN BANK","CA",541511,"2006",49,2,1,2,2,1,"0","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$8,500.00 "
"1047","SCAN HEALTH INC","MN","BANK OF AMERICA NATL ASSOC","OR",621610,"1998",84,44,1,0,0,0,"0","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"1048","BUSHNELL TRANSPORT, INC.","UT","ZIONS FIRST NATIONAL BANK","UT",484121,"2007",60,1,2,1,1,1,"N","$180,000.00 ","$0.00 ","P I F","$180,000.00 ","$135,000.00 "
"1049","PRO WELD INC","OR","C.C.D. BUS. DEVEL CORP","OR",332323,"2006",240,10,1,2,10,2,"0","$544,000.00 ","$0.00 ","P I F","$544,000.00 ","$544,000.00 "
"1050","GORDON FAMILY CHIROPRACTIC, L.","IL","PNC BANK, NATIONAL ASSOCIATION","DE",621310,"2007",88,1,2,0,1,1,"N","$80,600.00 ","$0.00 ","P I F","$80,600.00 ","$40,300.00 "
"1051","MAIL BOXES, ETC","MD","BUSINESS LENDERS, LLC","CT",0,"1998",91,2,2,0,0,0,"0","$100,000.00 ","$0.00 ","CHGOFF","$100,000.00 ","$80,000.00 "
"1052","POWERHOUSE HONDA.","SD","CAPITAL ONE NATL ASSOC","VA",811310,"2007",84,3,1,1,3,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"1053","Matthews Transportation LLC","TX","BANK OF AMERICA NATL ASSOC","NC",484110,"2007",84,45,1,0,45,2,"T","$124,000.00 ","$0.00 ","P I F","$100,000.00 ","$50,000.00 "
"1054","Commyn Management Group LLC","MI","JPMORGAN CHASE BANK NATL ASSOC","IL",531210,"2007",84,1,2,2,0,1,"Y","$45,783.00 ","$0.00 ","P I F","$26,000.00 ","$13,000.00 "
"1055","John Garganta d/b/a Those Yard","PA","SANTANDER BANK NATL ASSOC","PA",561730,"2007",68,2,2,1,2,1,"N","$5,000.00 ","$0.00 ","P I F","$5,000.00 ","$2,500.00 "
