"State","BankState","ApprovalFY","Term","NoEmp","NewExist","CreateJob","RetainedJob","UrbanRural","RevLineCr","DisbursementGross","MIS_Status","GrAppv","SBA_Appv","WhichCompany","yearsAfterAprv"
"Midwest","Southeast",1998,60,4,"NotNew",0,0,"Undefined","Y",150000,"P I F",1e+05,50000,"00",24
"Pacific West","Plains",2006,101,7,"NotNew",0,7,"Urban","0",475000,"CHGOFF",475000,356250,"44",16
"Northeast","Northeast",1998,84,2,"NotNew",0,0,"Undefined","0",50000,"P I F",50000,25000,"00",24
"Midwest","Plains",1998,120,8,"NotNew",0,0,"Undefined","0",130000,"P I F",130000,97500,"00",24
"Northeast","Northeast",2006,84,1,"NotNew",0,1,"Urban","Y",84126,"P I F",35000,17500,"23",16
"Midwest","Northeast",2006,38,6,"NotNew",2,6,"Urban","N",50000,"CHGOFF",50000,25000,"23",16
"Northeast","Northeast",1998,12,6,"NotNew",0,0,"Undefined","Y",35000,"P I F",35000,17500,"54",24
"Plains","Midwest",2006,95,4,"New",1,4,"Urban","N",225000,"P I F",225000,112500,"48",16
"Midwest","Northeast",2006,60,1,"New",0,1,"Rural","N",31500,"P I F",31500,15750,"48",16
"Northeast","Northeast",1998,84,3,"New",0,0,"Undefined","N",30000,"P I F",30000,24000,"00",24
"Plains","Plains",1984,84,8,"NotNew",0,0,"Undefined","N",127700,"CHGOFF",127700,114930,"00",38
"Southeast","Southeast",2006,75,1,"New",0,1,"Urban","N",10000,"CHGOFF",10000,8500,"51",16
"Northeast","Northeast",1998,95,1,"NotNew",0,0,"Undefined","0",125000,"CHGOFF",125000,93750,"81",24
"Plains","Plains",2006,60,12,"NotNew",0,12,"Urban","Y",128701,"P I F",50000,25000,"23",16
"Midwest","Midwest",2006,84,2,"New",0,2,"Urban","Y",46847,"P I F",20000,10000,"23",16
"Northeast","Northeast",2006,60,23,"NotNew",0,0,"Urban","N",250000,"P I F",250000,125000,"23",16
"Midwest","Northeast",2006,84,1,"New",0,1,"Urban","Y",74044,"P I F",35000,17500,"81",16
"Midwest","Midwest",2006,60,9,"NotNew",0,9,"Rural","Y",1e+05,"P I F",1e+05,50000,"23",16
"Midwest","Midwest",2006,20,1,"New",0,1,"Urban","N",11600,"CHGOFF",11600,5800,"23",16
"Northeast","Midwest",2006,84,1,"New",0,1,"Rural","Y",49932,"P I F",25000,12500,"44",16
"Midwest","Midwest",2006,84,1,"New",2,1,"Urban","N",25000,"P I F",25000,12500,"44",16
"Northeast","Northeast",1984,240,30,"NotNew",0,0,"Undefined","N",427000,"P I F",427000,427000,"00",38
"Midwest","Southeast",2006,84,2,"NotNew",0,2,"Urban","Y",10000,"P I F",10000,5000,"42",16
"Northeast","Northeast",1984,120,5,"NotNew",0,0,"Undefined","N",1e+05,"CHGOFF",1e+05,90000,"00",38
"Plains","Midwest",1998,60,24,"NotNew",0,0,"Undefined","Y",60000,"P I F",60000,30000,"00",24
"Southeast","Southeast",2006,84,6,"NotNew",0,6,"Urban","Y",74575,"P I F",50000,25000,"56",16
"Southeast","Southeast",2006,38,8,"NotNew",0,8,"Urban","Y",429223,"CHGOFF",1e+05,50000,"23",16
"Pacific West","Pacific West",2006,84,6,"NotNew",0,6,"Urban","N",6e+05,"P I F",6e+05,450000,"44",16
"Northeast","Northeast",2006,240,1,"NotNew",1,0,"Rural","0",734000,"P I F",734000,548475,"31",16
"Plains","Midwest",2006,84,4,"NotNew",0,4,"Rural","Y",129477,"P I F",50000,25000,"81",16
"Northeast","Northeast",2006,60,3,"New",0,3,"Rural","N",25000,"P I F",25000,12500,"53",16
"Northeast","Northeast",2006,23,1,"NotNew",0,1,"Urban","0",59793,"CHGOFF",25000,12500,"45",16
"Midwest","Midwest",1984,84,2,"New",0,0,"Undefined","N",33000,"CHGOFF",33000,29700,"00",38
"Plains","Southeast",2006,84,1,"New",0,1,"Urban","Y",19900,"P I F",10000,5000,"52",16
"Northeast","Northeast",1998,84,14,"NotNew",0,0,"Undefined","0",675000,"P I F",675000,506250,"00",24
"Plains","Plains",1998,60,3,"NotNew",0,0,"Undefined","N",18000,"P I F",18000,14400,"48",24
"Pacific West","Pacific West",2006,84,2,"New",1,3,"Urban","Y",125240,"P I F",124000,62000,"62",16
"Southeast","Southeast",1998,60,3,"New",0,0,"Undefined","N",55000,"P I F",55000,44000,"45",24
"Northeast","Northeast",2006,84,8,"NotNew",0,8,"Urban","N",25000,"P I F",25000,12500,"23",16
"Midwest","Pacific West",2006,84,15,"NotNew",0,15,"Urban","N",432000,"P I F",432000,324000,"81",16
"Pacific West","Southeast",2006,84,15,"NotNew",0,15,"Urban","Y",50000,"P I F",50000,25000,"31",16
"Midwest","Midwest",1998,240,2,"New",0,2,"Undefined","N",143000,"P I F",143000,143000,"32",24
"Southeast","Northeast",2006,58,7,"NotNew",0,7,"Rural","Y",100807,"CHGOFF",50000,25000,"52",16
"Northeast","Northeast",2006,1,1,"NotNew",3,1,"Urban","Y",44971,"CHGOFF",25000,12500,"33",16
"Southeast","Southeast",1998,48,5,"NotNew",0,0,"Undefined","0",40000,"P I F",40000,32000,"56",24
"Northeast","Northeast",2006,60,1,"NotNew",0,1,"Urban","N",150000,"P I F",150000,75000,"54",16
"Pacific West","Pacific West",2006,84,4,"NotNew",0,4,"Urban","Y",50000,"P I F",50000,25000,"44",16
"Plains","Midwest",1998,180,4,"New",0,0,"Undefined","0",80000,"P I F",80000,40000,"00",24
"Midwest","Midwest",2006,84,6,"NotNew",0,0,"Urban","N",25000,"P I F",25000,12500,"72",16
"Northeast","Northeast",2006,60,6,"New",0,6,"Urban","Y",50000,"P I F",50000,25000,"54",16
"Pacific West","Pacific West",1998,84,1,"NotNew",0,0,"Undefined","0",1e+05,"P I F",1e+05,80000,"11",24
"Northeast","Northeast",1998,120,5,"NotNew",0,0,"Undefined","0",2e+05,"P I F",2e+05,150000,"42",24
"Pacific West","Plains",1984,96,3,"NotNew",0,0,"Undefined","N",60000,"CHGOFF",60000,54000,"00",38
"Pacific West","Pacific West",2006,84,4,"NotNew",0,4,"Urban","Y",105000,"P I F",50000,25000,"23",16
"Pacific West","Pacific West",2006,28,1,"New",0,1,"Urban","Y",75000,"CHGOFF",75000,63750,"71",16
"Pacific West","Southeast",2006,30,9,"NotNew",0,9,"Urban","Y",18000,"CHGOFF",10000,5000,"62",16
"Midwest","Midwest",1998,60,2,"New",0,0,"Undefined","0",65000,"P I F",65000,52000,"00",24
"Plains","Plains",2006,2,10,"NotNew",2,12,"Urban","Y",124963,"CHGOFF",50000,25000,"23",16
"Northeast","Northeast",1998,84,2,"New",0,0,"Undefined","0",80000,"P I F",80000,40000,"00",24
"Northeast","Midwest",1998,36,1,"New",0,0,"Undefined","Y",25000,"P I F",25000,12500,"51",24
"Pacific West","Pacific West",1998,5,22,"NotNew",0,0,"Undefined","N",84048,"CHGOFF",84048,67238,"00",24
"Midwest","Southeast",2006,71,1,"New",0,1,"Urban","N",25000,"CHGOFF",25000,21250,"45",16
"Pacific West","Pacific West",1998,84,3,"NotNew",0,0,"Undefined","0",166400,"P I F",166400,124800,"33",24
"Northeast","Southeast",2006,84,1,"NotNew",0,1,"Urban","Y",10000,"P I F",10000,5000,"42",16
"Plains","Midwest",1998,12,2,"New",0,0,"Undefined","Y",25000,"P I F",25000,12500,"71",24
"Northeast","Northeast",1984,42,2,"NotNew",0,0,"Undefined","N",550000,"CHGOFF",550000,495000,"00",38
"Northeast","Midwest",1998,12,1,"NotNew",0,0,"Undefined","0",15000,"P I F",15000,7500,"81",24
"Northeast","Southeast",2006,84,1,"New",0,1,"Urban","Y",10000,"P I F",10000,5000,"44",16
"Midwest","Midwest",2006,84,3,"New",0,3,"Rural","Y",103235,"P I F",43900,21950,"44",16
"AK","AK",1998,180,6,"NotNew",0,0,"Undefined","N",425000,"P I F",640000,480000,"81",24
"Plains","Plains",1984,84,9,"New",0,0,"Undefined","N",75000,"CHGOFF",75000,67500,"00",38
"Northeast","Northeast",2006,84,1,"New",1,1,"Urban","N",150000,"P I F",150000,75000,"62",16
"Midwest","Midwest",1998,60,1,"NotNew",0,0,"Undefined","N",25000,"P I F",25000,20000,"00",24
"Midwest","Midwest",1984,240,30,"NotNew",0,0,"Undefined","N",212000,"P I F",212000,212000,"00",38
"Midwest","Southeast",2006,24,2,"NotNew",0,2,"Urban","Y",15000,"CHGOFF",10000,5000,"51",16
"Midwest","Midwest",2006,84,3,"New",1,3,"Urban","Y",86671,"P I F",25000,12500,"53",16
"Midwest","Midwest",2006,84,5,"NotNew",0,5,"Rural","N",45000,"P I F",45000,22500,"33",16
"Northeast","Northeast",1998,60,4,"NotNew",0,0,"Undefined","N",97500,"P I F",97500,73125,"81",24
"Pacific West","Midwest",2006,27,6,"New",0,6,"Urban","Y",144426,"CHGOFF",50000,25000,"23",16
"Plains","Plains",1998,64,13,"New",0,0,"Undefined","N",75000,"P I F",150000,90000,"44",24
"Plains","Northeast",2006,84,2,"NotNew",0,2,"Urban","N",25000,"P I F",25000,12500,"53",16
"Pacific West","Midwest",2006,84,1,"NotNew",1,2,"Urban","Y",99811,"P I F",44800,22400,"54",16
"Northeast","Northeast",1998,87,4,"NotNew",0,0,"Undefined","N",1e+05,"P I F",1e+05,80000,"62",24
"Northeast","Northeast",2006,84,1,"New",0,1,"Urban","Y",19000,"P I F",15000,7500,"48",16
"Midwest","Northeast",2006,19,5,"NotNew",0,5,"Urban","N",30000,"CHGOFF",30000,15000,"42",16
"Pacific West","Southeast",2006,84,1,"NotNew",0,1,"Urban","Y",15000,"P I F",15000,7500,"81",16
"Pacific West","Pacific West",1998,84,4,"New",0,0,"Undefined","N",55600,"P I F",55600,41700,"00",24
"Pacific West","Northeast",2006,84,2,"NotNew",2,2,"Urban","Y",15047,"P I F",15000,7500,"62",16
"Northeast","Southeast",2006,84,2,"New",0,2,"Urban","Y",18229,"P I F",10000,5000,"54",16
"Northeast","Northeast",2006,84,1,"NotNew",0,1,"Urban","N",4737,"P I F",5000,2500,"81",16
"Plains","Plains",1984,22,4,"NotNew",0,0,"Undefined","N",75000,"CHGOFF",75000,67500,"00",38
"Pacific West","Plains",2006,84,1,"NotNew",3,4,"Urban","Y",55007,"P I F",15000,7500,"81",16
"Midwest","Midwest",2006,60,0,"New",0,0,"Urban","N",82700,"P I F",90500,76925,"45",16
"Southeast","Southeast",1998,76,5,"New",0,0,"Undefined","0",1e+05,"P I F",1e+05,80000,"45",24
"Plains","Midwest",2006,84,1,"NotNew",0,1,"Urban","Y",65000,"P I F",50000,25000,"54",16
"Northeast","Northeast",2006,12,2,"NotNew",2,2,"Rural","Y",3e+05,"P I F",3e+05,150000,"44",16
"Pacific West","Pacific West",2006,60,1,"NotNew",0,1,"Urban","N",141000,"P I F",141000,70500,"45",16
"Midwest","Midwest",1984,240,11,"New",0,0,"Undefined","N",122000,"P I F",122000,122000,"00",38
"Midwest","Midwest",1998,84,1,"New",0,0,"Undefined","N",45000,"P I F",45000,36000,"62",24
"Northeast","Northeast",1984,139,4,"New",0,0,"Undefined","N",98000,"CHGOFF",98000,88200,"00",38
"Midwest","Midwest",2006,84,2,"New",0,2,"Urban","Y",42531,"P I F",10000,5000,"62",16
"Pacific West","Midwest",1998,84,5,"NotNew",0,0,"Undefined","0",90000,"P I F",90000,67500,"56",24
"Pacific West","Plains",2006,21,20,"NotNew",0,15,"Urban","Y",88071,"CHGOFF",35000,17500,"44",16
"Midwest","Midwest",2006,33,15,"NotNew",0,0,"Rural","N",3e+05,"CHGOFF",3e+05,225000,"42",16
"Northeast","Northeast",2006,24,14,"NotNew",0,14,"Urban","Y",1e+05,"P I F",1e+05,50000,"81",16
"Southeast","Southeast",2006,46,4,"NotNew",1,5,"Urban","Y",204712,"CHGOFF",1e+05,50000,"48",16
"Northeast","Midwest",2006,84,15,"NotNew",0,15,"Urban","Y",101108,"P I F",50000,25000,"72",16
"Midwest","Midwest",2006,60,1,"New",0,1,"Rural","Y",13969,"P I F",5000,2500,"45",16
"Midwest","Midwest",1998,84,2,"New",0,0,"Undefined","N",60000,"P I F",60000,45000,"00",24
"Midwest","Midwest",2006,84,2,"New",0,0,"Urban","N",75000,"P I F",75000,37500,"45",16
"Southeast","Southeast",2006,58,5,"NotNew",0,5,"Urban","Y",65000,"CHGOFF",35000,17500,"42",16
"Plains","Plains",1998,60,4,"NotNew",0,0,"Undefined","0",1e+05,"P I F",1e+05,75000,"45",24
"Southeast","Southeast",1984,240,30,"New",0,0,"Undefined","N",498000,"P I F",498000,498000,"00",38
"Midwest","Southeast",2006,84,3,"NotNew",0,3,"Urban","N",50000,"P I F",50000,25000,"44",16
"Midwest","Northeast",2006,84,3,"New",2,5,"Urban","N",56700,"P I F",56700,28350,"72",16
"Plains","Plains",1998,60,2,"NotNew",0,0,"Undefined","N",15000,"P I F",15000,12000,"00",24
"Northeast","Southeast",2006,84,1,"NotNew",0,1,"Urban","Y",15000,"P I F",15000,7500,"54",16
"Pacific West","Pacific West",1998,240,5,"NotNew",0,5,"Undefined","N",213000,"P I F",213000,213000,"00",24
"Plains","Midwest",2006,84,2,"New",2,2,"Urban","Y",126013,"P I F",25000,12500,"81",16
"Pacific West","Pacific West",1998,247,11,"NotNew",0,0,"Undefined","0",270000,"CHGOFF",270000,202500,"44",24
"Southeast","Southeast",1998,12,2,"NotNew",0,0,"Undefined","Y",22500,"P I F",15000,7500,"00",24
"Midwest","Midwest",1998,84,4,"NotNew",0,0,"Undefined","N",41000,"P I F",41000,32800,"23",24
"Northeast","Pacific West",2006,125,2,"New",0,2,"Urban","N",90050,"P I F",127800,603750,"62",16
"Midwest","Northeast",2006,58,3,"NotNew",1,2,"Rural","0",22611,"CHGOFF",10000,5000,"48",16
"Southeast","Southeast",2006,36,1,"NotNew",0,1,"Urban","0",25000,"P I F",25000,12500,"62",16
"Southeast","Southeast",2006,6,6,"New",1,6,"Urban","Y",115381,"CHGOFF",50000,25000,"54",16
"Pacific West","Southeast",2006,84,1,"NotNew",0,1,"Urban","Y",8952,"P I F",5000,2500,"56",16
"Midwest","Midwest",1998,72,1,"New",0,0,"Undefined","N",1e+05,"P I F",1e+05,80000,"00",24
"Southeast","Southeast",2006,60,2,"NotNew",2,2,"Urban","N",50000,"CHGOFF",50000,42500,"81",16
"Northeast","Northeast",2006,84,2,"New",0,2,"Urban","N",150000,"P I F",150000,75000,"23",16
"Midwest","Midwest",2006,60,0,"NotNew",0,0,"Urban","N",25000,"P I F",25000,12500,"45",16
"Southeast","Southeast",1998,72,1,"New",0,0,"Undefined","0",1e+05,"P I F",1e+05,80000,"45",24
"Midwest","Midwest",1998,63,15,"NotNew",0,0,"Undefined","N",50000,"P I F",50000,37500,"23",24
"Southeast","Southeast",2006,65,5,"NotNew",0,5,"Urban","Y",37500,"CHGOFF",25000,12500,"56",16
"Pacific West","Northeast",2006,57,3,"NotNew",1,3,"Urban","N",50000,"CHGOFF",50000,25000,"33",16
"AK","Plains",2006,69,4,"NotNew",2,6,"Urban","Y",136520,"P I F",55000,27500,"44",16
"Northeast","Southeast",2006,84,1,"New",0,1,"Urban","Y",8688,"P I F",5000,2500,"56",16
"Southeast","Southeast",1998,78,4,"New",0,0,"Undefined","0",140000,"P I F",140000,105000,"44",24
"Pacific West","Pacific West",1998,84,7,"NotNew",0,0,"Undefined","0",150000,"P I F",2e+05,150000,"42",24
"Midwest","Midwest",2006,84,1,"New",0,1,"Urban","Y",17584,"P I F",10000,5000,"54",16
"Pacific West","Pacific West",1998,84,8,"NotNew",0,0,"Undefined","Y",50000,"P I F",50000,25000,"44",24
"Plains","Plains",1998,84,17,"NotNew",0,0,"Undefined","0",327000,"P I F",327000,245250,"00",24
"Midwest","Midwest",2006,84,1,"New",1,1,"Urban","Y",96641,"P I F",25000,12500,"54",16
"Northeast","Northeast",1998,36,15,"NotNew",0,0,"Undefined","0",9400,"P I F",9400,4700,"00",24
"Northeast","Northeast",2006,65,4,"NotNew",0,4,"Urban","Y",68500,"CHGOFF",50000,25000,"62",16
"Southeast","Northeast",2006,84,2,"NotNew",0,2,"Urban","N",15000,"P I F",15000,7500,"44",16
"Southeast","Pacific West",1998,252,1,"NotNew",0,0,"Undefined","0",637000,"P I F",637000,477750,"00",24
"Pacific West","Southeast",2006,55,2,"New",0,2,"Urban","N",17995,"CHGOFF",10000,5000,"45",16
"Southeast","Southeast",2006,27,1,"NotNew",0,1,"Urban","Y",5596,"CHGOFF",5000,2500,"81",16
"Southeast","Southeast",1998,240,12,"NotNew",0,0,"Undefined","0",380000,"P I F",380000,285000,"00",24
"Pacific West","Pacific West",1998,84,2,"NotNew",0,0,"Undefined","0",244000,"P I F",244000,183000,"00",24
"Midwest","Northeast",2006,12,1,"NotNew",0,1,"Urban","N",15000,"CHGOFF",15000,7500,"71",16
"Plains","Plains",1998,12,2,"NotNew",0,0,"Undefined","N",7e+05,"P I F",7e+05,525000,"42",24
"Midwest","Northeast",2006,84,10,"NotNew",2,10,"Urban","N",50000,"P I F",50000,25000,"23",16
"Northeast","Northeast",2006,84,1,"NotNew",0,1,"Urban","Y",25000,"P I F",25000,12500,"45",16
"Plains","Plains",2006,84,15,"NotNew",0,15,"Urban","0",298000,"P I F",298000,223500,"56",16
"Pacific West","Pacific West",1998,60,4,"New",0,0,"Undefined","0",46000,"P I F",46000,36800,"00",24
"Midwest","Midwest",2006,19,10,"NotNew",0,0,"Rural","Y",37380,"P I F",25000,12500,"44",16
"Southeast","Southeast",1998,60,4,"New",0,0,"Undefined","0",1e+05,"P I F",1e+05,80000,"00",24
"Plains","Midwest",2006,84,6,"NotNew",0,6,"Urban","Y",23192,"P I F",20000,10000,"44",16
"Pacific West","Pacific West",1998,84,2,"NotNew",0,0,"Undefined","Y",6200,"P I F",6200,3100,"00",24
"Northeast","Northeast",1998,84,8,"New",0,0,"Undefined","0",120000,"P I F",150000,112500,"00",24
"Southeast","Southeast",1998,84,4,"NotNew",0,0,"Undefined","0",75000,"P I F",75000,60000,"45",24
"Pacific West","Pacific West",2006,46,2,"NotNew",0,2,"Rural","N",40000,"CHGOFF",40000,20000,"33",16
"Southeast","Plains",1998,168,4,"NotNew",0,0,"Undefined","0",351500,"P I F",351500,263625,"44",24
"Pacific West","Plains",1998,84,18,"NotNew",0,0,"Undefined","0",410000,"P I F",495000,371250,"33",24
"Plains","Plains",2006,62,9,"NotNew",0,8,"Urban","Y",631126,"P I F",150000,75000,"23",16
"Plains","Plains",1998,222,6,"New",0,0,"Undefined","N",325000,"CHGOFF",325000,243750,"00",24
"Plains","Plains",1998,180,2,"New",0,0,"Undefined","0",50000,"P I F",50000,40000,"81",24
"Northeast","Southeast",2006,46,25,"NotNew",0,0,"Rural","Y",162500,"CHGOFF",75000,37500,"72",16
"Pacific West","Pacific West",2006,94,1,"New",2,1,"Urban","N",210000,"CHGOFF",210000,157500,"56",16
"Midwest","Midwest",2006,121,1,"NotNew",0,0,"Urban","0",42467,"P I F",25000,12500,"44",16
"Midwest","Midwest",2006,48,2,"NotNew",0,0,"Urban","N",15000,"P I F",15000,7500,"81",16
"Southeast","Southeast",2006,84,1,"New",3,4,"Undefined","0",15600,"P I F",15600,13260,"81",16
"Pacific West","Pacific West",1998,26,2,"New",0,0,"Undefined","0",40000,"P I F",40000,32000,"45",24
"Northeast","Northeast",1998,240,15,"NotNew",0,0,"Undefined","N",416000,"P I F",416000,416000,"00",24
"Pacific West","Pacific West",1998,69,10,"NotNew",0,0,"Undefined","N",388000,"CHGOFF",388000,291000,"45",24
"Southeast","Southeast",1998,84,1,"NotNew",0,0,"Undefined","0",56250,"P I F",56250,45000,"00",24
"Plains","Southeast",2006,84,24,"NotNew",0,0,"Urban","Y",86557,"P I F",50000,25000,"54",16
"Northeast","Northeast",2006,10,3,"NotNew",1,3,"Urban","N",25000,"CHGOFF",25000,12500,"23",16
"Midwest","Midwest",2006,240,8,"NotNew",0,8,"Urban","N",342700,"P I F",342700,171350,"62",16
"Plains","Midwest",2006,15,3,"NotNew",0,3,"Urban","Y",44186,"CHGOFF",20000,10000,"45",16
"Pacific West","Pacific West",2006,73,19,"NotNew",1,0,"Urban","0",490000,"CHGOFF",490000,367500,"72",16
"Plains","Northeast",2006,20,1,"NotNew",2,1,"Urban","N",25000,"CHGOFF",25000,12500,"23",16
"Pacific West","Pacific West",1998,84,2,"NotNew",0,0,"Undefined","0",70000,"P I F",70000,56000,"00",24
"Midwest","Midwest",2006,32,1,"New",2,2,"Urban","N",42900,"CHGOFF",42900,21450,"81",16
"Northeast","Northeast",2006,84,15,"NotNew",2,15,"Urban","N",1e+05,"P I F",1e+05,50000,"56",16
"Pacific West","Southeast",2006,66,3,"NotNew",0,3,"Urban","Y",60000,"CHGOFF",60000,30000,"44",16
"Plains","Plains",2006,120,14,"NotNew",0,0,"Urban","N",86859,"P I F",86859,73830,"81",16
"Southeast","Southeast",2006,120,20,"NotNew",0,15,"Urban","N",150000,"P I F",150000,75000,"45",16
"Northeast","Northeast",2006,84,10,"NotNew",0,10,"Urban","Y",350000,"P I F",250000,125000,"42",16
"Southeast","Southeast",1984,240,29,"New",0,0,"Undefined","N",214000,"P I F",214000,214000,"00",38
"Midwest","Northeast",2006,49,5,"NotNew",1,4,"Urban","0",25877,"CHGOFF",10000,5000,"54",16
"Midwest","Northeast",2006,60,12,"NotNew",0,12,"Urban","Y",123854,"P I F",1e+05,50000,"54",16
"Plains","Pacific West",2006,84,1,"New",2,1,"Urban","0",10000,"P I F",10000,8500,"54",16
"Northeast","Northeast",1998,64,13,"NotNew",0,0,"Undefined","N",92000,"P I F",92000,73600,"23",24
"Northeast","Midwest",2006,72,4,"NotNew",0,4,"Urban","Y",130128,"P I F",50000,25000,"44",16
"Southeast","Northeast",2006,39,8,"NotNew",0,8,"Urban","N",50000,"CHGOFF",50000,25000,"81",16
"Northeast","Northeast",2006,3,7,"New",2,5,"Rural","N",16700,"CHGOFF",16700,8350,"81",16
"Midwest","Northeast",2006,21,2,"New",2,0,"Urban","N",35000,"CHGOFF",35000,17500,"62",16
"Pacific West","Southeast",2006,84,8,"NotNew",0,8,"Urban","Y",58456,"P I F",35000,17500,"42",16
"Northeast","Northeast",2006,14,3,"NotNew",0,3,"Rural","Y",19735,"CHGOFF",15000,7500,"52",16
"Midwest","Midwest",1998,180,6,"NotNew",0,0,"Undefined","N",210000,"P I F",210000,157500,"71",24
"Pacific West","Pacific West",1998,240,4,"NotNew",2,4,"Undefined","N",170000,"P I F",170000,170000,"00",24
"Plains","Pacific West",2006,84,6,"NotNew",2,6,"Rural","N",10000,"P I F",10000,8500,"54",16
"Plains","Plains",2006,29,6,"NotNew",1,6,"Rural","0",165000,"CHGOFF",165000,82500,"44",16
"Southeast","Pacific West",2006,120,4,"New",0,4,"Urban","N",130000,"P I F",130000,110500,"61",16
"Plains","Midwest",2006,84,1,"New",0,1,"Urban","Y",25500,"P I F",25000,12500,"54",16
"Midwest","Northeast",2006,84,3,"NotNew",1,4,"Urban","Y",9780,"P I F",2000,1000,"53",16
"Pacific West","Pacific West",1998,120,4,"New",0,0,"Undefined","N",224890,"P I F",225000,168750,"23",24
"Pacific West","Southeast",2006,9,2,"NotNew",0,2,"Urban","Y",19750,"CHGOFF",10000,5000,"81",16
"Midwest","Midwest",2006,84,7,"NotNew",0,7,"Urban","Y",25751,"P I F",20000,10000,"48",16
"Plains","Plains",1998,240,9,"NotNew",0,0,"Undefined","N",664660,"P I F",664660,498495,"00",24
"Pacific West","Pacific West",1998,84,2,"NotNew",0,0,"Undefined","Y",50000,"P I F",50000,25000,"00",24
"Midwest","Midwest",1998,240,3,"New",2,3,"Undefined","N",204000,"P I F",204000,204000,"00",24
"Northeast","Northeast",2006,24,2,"NotNew",1,3,"Urban","Y",15000,"P I F",15000,7500,"45",16
"Southeast","Southeast",1998,240,20,"NotNew",0,0,"Undefined","N",437000,"P I F",437000,437000,"00",24
"Pacific West","Pacific West",1998,240,2,"NotNew",0,0,"Undefined","N",420000,"P I F",420000,420000,"00",24
"Midwest","Midwest",2006,240,2,"NotNew",1,2,"Urban","N",174400,"P I F",174400,87200,"61",16
"Plains","Plains",1998,180,3,"NotNew",0,0,"Undefined","N",290000,"P I F",290000,217500,"54",24
"Plains","Northeast",2006,67,8,"NotNew",0,8,"Urban","N",1e+05,"CHGOFF",1e+05,50000,"33",16
"Pacific West","Pacific West",2006,53,2,"NotNew",0,1,"Urban","N",35000,"CHGOFF",35000,29750,"45",16
"Plains","Plains",1998,72,6,"NotNew",0,0,"Undefined","0",198926,"P I F",2e+05,150000,"00",24
"Northeast","Northeast",2006,120,1,"NotNew",0,1,"Urban","0",193000,"P I F",193000,144750,"72",16
"Pacific West","Northeast",2007,84,7,"NotNew",0,7,"Urban","N",1e+05,"P I F",1e+05,50000,"81",15
"Pacific West","Pacific West",1998,84,2,"NotNew",0,0,"Undefined","0",435000,"P I F",435000,326250,"54",24
"Midwest","Midwest",1984,240,4,"NotNew",0,0,"Undefined","N",212000,"P I F",214000,214000,"00",38
"Pacific West","Southeast",2007,84,6,"NotNew",2,6,"Urban","Y",60000,"P I F",40000,20000,"48",15
"Plains","Northeast",1998,135,6,"NotNew",0,0,"Undefined","0",30000,"CHGOFF",30000,24000,"00",24
"Midwest","Midwest",2007,84,1,"New",0,1,"Urban","Y",49720,"P I F",25000,12500,"23",15
"Northeast","Midwest",2007,84,2,"NotNew",0,2,"Urban","N",30300,"P I F",30300,15150,"54",15
"Midwest","Midwest",2007,60,2,"NotNew",0,2,"Urban","N",50900,"P I F",50900,43265,"33",15
"HI","HI",2006,60,1,"New",1,1,"Urban","Y",62877,"P I F",50000,25000,"42",16
"Midwest","Pacific West",2006,84,2,"NotNew",0,2,"Urban","0",5000,"P I F",5000,4250,"33",16
"Pacific West","Pacific West",2006,84,1,"New",0,8,"Urban","0",440000,"P I F",440000,330000,"72",16
"Midwest","Midwest",2007,16,2,"NotNew",0,2,"Urban","Y",67324,"CHGOFF",25000,12500,"45",15
"Pacific West","Pacific West",2007,84,1,"New",0,1,"Urban","Y",28246,"P I F",15000,7500,"23",15
"Pacific West","Pacific West",1998,84,5,"NotNew",0,0,"Undefined","0",43000,"P I F",43000,32250,"00",24
"Midwest","Northeast",2007,28,2,"NotNew",2,2,"Urban","N",25000,"CHGOFF",25000,12500,"81",15
"Pacific West","Southeast",2007,84,15,"NotNew",0,15,"Urban","Y",15000,"P I F",10000,5000,"56",15
"Midwest","Plains",2006,32,1,"NotNew",0,1,"Urban","Y",42889,"CHGOFF",20000,10000,"81",16
"Northeast","Northeast",1985,54,1,"New",0,0,"Undefined","N",16000,"CHGOFF",16000,14400,"00",37
"Pacific West","Pacific West",2006,57,2,"NotNew",1,2,"Urban","0",15000,"CHGOFF",15000,12750,"44",16
"Pacific West","Pacific West",2007,75,1,"NotNew",2,1,"Urban","N",10000,"CHGOFF",10000,8500,"54",15
"Plains","Plains",2006,84,1,"New",3,4,"Urban","0",106000,"P I F",106000,90100,"54",16
"Southeast","Southeast",1998,180,4,"NotNew",0,0,"Undefined","N",335000,"P I F",335000,251250,"00",24
"Northeast","Northeast",2007,60,1,"NotNew",0,1,"Urban","N",19000,"P I F",19000,9500,"81",15
"Midwest","Midwest",2007,111,7,"NotNew",1,7,"Urban","N",202700,"CHGOFF",202700,152025,"45",15
"Northeast","Northeast",2007,84,3,"NotNew",3,3,"Urban","N",50000,"P I F",50000,25000,"44",15
"Midwest","Midwest",1998,240,21,"NotNew",0,0,"Undefined","N",602000,"P I F",602000,602000,"54",24
"Pacific West","Pacific West",1998,84,1,"NotNew",0,0,"Undefined","N",220000,"P I F",220000,165000,"81",24
"Pacific West","Plains",2007,54,2,"New",0,2,"Urban","N",247000,"CHGOFF",247000,185250,"72",15
